"Save","Сохранить"
"Delete","Удалить"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Main data","Главные данные"
"Title","Заголовок"
"Content Of Your Post","Содержимое заметки"
"This is an important notice","Это важное замечание"
"Post Information","Информация о заметке"
"Content","Содержимое"
"Date","Дата"
"Timestamp","Отметка времени"
"Are you sure?","Вы уверены?"
"Change status","Изменить статус"
"Item was saved","Заметка сохранена"
"Item was successfuly deleted","Заметка успешно удалена"
"Post Manager","Менеджер заметок"
"Add Post","Добавить заметку"
